bar,timestamp,price,qty,label,regime,pnl,datetime
349,1765811700000.0,0.1307,0.0,CIRCUIT_BREAKER_HALT,-2,0.0,2025-12-15 15:15:00
366,1765827000000.0,0.12977776137297795,0.0,STOP_LONG,0,-0.803436764398855,2025-12-15 19:30:00
369,1765829700000.0,0.1279125038961308,70.24640823076439,BUY_OPEN_LONG,0,0.0,2025-12-15 20:15:00
370,1765830600000.0,0.12844,0.0,PRUNE_OLDEST,0,0.035250216917902144,2025-12-15 20:30:00
380,1765839600000.0,0.12935871992538484,69.46881946446292,SELL_OPEN_SHORT,0,0.0,2025-12-15 23:00:00
381,1765840500000.0,0.12918,0.0,PRUNE_OLDEST,0,0.010620665811578283,2025-12-15 23:15:00
384,1765843200000.0,0.1298259,69.2208739722934,SELL_OPEN_SHORT,0,0.0,2025-12-16 00:00:00
385,1765844100000.0,0.12975,0.0,PRUNE_OLDEST,0,0.0034575826549153536,2025-12-16 00:15:00
387,1765845900000.0,0.12910125,69.61000459763413,BUY_OPEN_LONG,0,0.0,2025-12-16 00:45:00
388,1765846800000.0,0.12949,0.0,PRUNE_OLDEST,0,0.025258129388260272,2025-12-16 01:00:00
388,1765846800000.0,0.12884255,69.75523559189357,BUY_OPEN_LONG,0,0.0,2025-12-16 01:00:00
389,1765847700000.0,0.1291,0.0,PRUNE_OLDEST,0,0.016157405220149777,2025-12-16 01:15:00
389,1765847700000.0,0.12974549999999999,69.27310178011841,SELL_OPEN_SHORT,0,0.0,2025-12-16 01:15:00
390,1765848600000.0,0.12925,0.0,PRUNE_OLDEST,0,0.032534112251031366,2025-12-16 01:30:00
394,1765852200000.0,0.12989625,69.19980617716463,SELL_OPEN_SHORT,0,0.0,2025-12-16 02:30:00
395,1765853100000.0,0.12936,0.0,PRUNE_OLDEST,0,0.03531805867708811,2025-12-16 02:45:00
398,1765855800000.0,0.1287132,69.84365964119371,BUY_OPEN_LONG,0,0.0,2025-12-16 03:30:00
399,1765856700000.0,0.12925,0.0,PRUNE_OLDEST,0,0.0356866178936682,2025-12-16 03:45:00
401,1765858500000.0,0.12860375000000002,69.9110064197981,BUY_OPEN_LONG,0,0.0,2025-12-16 04:15:00
402,1765859400000.0,0.12838,0.0,PRUNE_OLDEST,0,-0.017437622687266136,2025-12-16 04:30:00
403,1765860300000.0,0.1277381,70.38025865637537,BUY_OPEN_LONG,0,0.0,2025-12-16 04:45:00
404,1765861200000.0,0.12877,0.0,PRUNE_OLDEST,0,0.07081281572607762,2025-12-16 05:00:00
408,1765864800000.0,0.12948250487509905,69.44807694272478,SELL_OPEN_SHORT,0,0.0,2025-12-16 06:00:00
409,1765865700000.0,0.12988,0.0,PRUNE_OLDEST,0,-0.02940925526514328,2025-12-16 06:15:00
413,1765869300000.0,0.1292306,69.57620509212906,BUY_OPEN_LONG,0,0.0,2025-12-16 07:15:00
414,1765870200000.0,0.12838,0.0,PRUNE_OLDEST,0,-0.06096795869331096,2025-12-16 07:30:00
414,1765870200000.0,0.1290219,69.67415409918561,SELL_OPEN_SHORT,0,0.0,2025-12-16 07:30:00
415,1765871100000.0,0.12843,0.0,PRUNE_OLDEST,0,0.03945048148911672,2025-12-16 07:45:00
419,1765874700000.0,0.12907215,69.65578027687562,SELL_OPEN_SHORT,0,0.0,2025-12-16 08:45:00
420,1765875600000.0,0.12886,0.0,PRUNE_OLDEST,0,0.012982305016443126,2025-12-16 09:00:00
426,1765881000000.0,0.1295043,69.42593292799162,SELL_OPEN_SHORT,0,0.0,2025-12-16 10:30:00
426,1765881000000.0,0.1301486,69.08224019072433,SELL_OPEN_SHORT,0,0.0,2025-12-16 10:30:00
426,1765881000000.0,0.1307929,68.74193358879958,SELL_OPEN_SHORT,0,0.0,2025-12-16 10:30:00
427,1765881900000.0,0.13087,69.08224019072433,PRUNE_OLDEST,2,-0.09663215096821524,2025-12-16 10:45:00
428,1765882800000.0,0.131,68.74193358879958,PRUNE_OLDEST,2,-0.06062657399137982,2025-12-16 11:00:00
429,1765883700000.0,0.13167,0.0,PRUNE_OLDEST,2,-0.0621038000298649,2025-12-16 11:15:00
438,1765891800000.0,0.1302006624696912,69.03110839414114,BUY_OPEN_LONG,0,0.0,2025-12-16 13:30:00
438,1765891800000.0,0.13020180050666666,13.78241737795239,BUY_CLOSE_SHORT,0,0.0,2025-12-16 13:30:00
439,1765892700000.0,0.12983,0.0,PRUNE_OLDEST,0,-0.027379702883455304,2025-12-16 13:45:00
439,1765892700000.0,0.1307075002215386,68.72856415297363,SELL_OPEN_SHORT,0,0.0,2025-12-16 13:45:00
440,1765893600000.0,0.13069,0.0,PRUNE_OLDEST,-1,-0.0005936621111237344,2025-12-16 14:00:00
442,1765895400000.0,0.13160383352533345,68.25991966735036,SELL_OPEN_SHORT,0,0.0,2025-12-16 14:30:00
443,1765896300000.0,0.13136,0.0,PRUNE_OLDEST,0,0.01485073224196698,2025-12-16 14:45:00
443,1765896300000.0,0.1303002985910644,68.94580307074843,BUY_OPEN_LONG,0,0.0,2025-12-16 14:45:00
443,1765896300000.0,0.1324197014089356,67.84231221739512,SELL_OPEN_SHORT,0,0.0,2025-12-16 14:45:00
444,1765897200000.0,0.13148,0.0,PRUNE_OLDEST,0,0.07952246218521082,2025-12-16 15:00:00
444,1765897200000.0,0.13148,0.0,PRUNE_OLDEST,0,0.06196753493406609,2025-12-16 15:00:00
447,1765899900000.0,0.13274374122107752,67.70786735443455,SELL_OPEN_SHORT,0,0.0,2025-12-16 15:45:00
448,1765900800000.0,0.13214,0.0,PRUNE_OLDEST,0,0.03908864699467729,2025-12-16 16:00:00
456,1765908000000.0,0.13097775421204555,68.62932113503537,BUY_OPEN_LONG,0,0.0,2025-12-16 18:00:00
457,1765908900000.0,0.13153,0.0,PRUNE_OLDEST,0,0.036094890605218935,2025-12-16 18:15:00
458,1765909800000.0,0.13236446344951833,67.91810304904723,SELL_OPEN_SHORT,0,0.0,2025-12-16 18:30:00
459,1765910700000.0,0.13233,0.0,PRUNE_OLDEST,0,0.0005431716005150698,2025-12-16 18:45:00
460,1765911600000.0,0.13152651412013958,68.35051992538199,BUY_OPEN_LONG,0,0.0,2025-12-16 19:00:00
461,1765912500000.0,0.13166,0.0,PRUNE_OLDEST,0,0.007324023400481848,2025-12-16 19:15:00
463,1765914300000.0,0.13246190717198406,67.86910740821888,SELL_OPEN_SHORT,0,0.0,2025-12-16 19:45:00
464,1765915200000.0,0.13197,0.0,PRUNE_OLDEST,0,0.03159396346932628,2025-12-16 20:00:00
481,1765930500000.0,0.131270708131304,68.49178626228867,BUY_OPEN_LONG,0,0.0,2025-12-17 00:15:00
482,1765931400000.0,0.13129,0.0,PRUNE_OLDEST,0,-0.00047712277634991596,2025-12-17 00:30:00
485,1765934100000.0,0.13194645,68.14049960687507,SELL_OPEN_SHORT,0,0.0,2025-12-17 01:15:00
486,1765935000000.0,0.13183,0.0,PRUNE_OLDEST,0,0.006138368766585063,2025-12-17 01:30:00
489,1765937700000.0,0.13117085,68.54440014709373,BUY_OPEN_LONG,0,0.0,2025-12-17 02:15:00
490,1765938600000.0,0.1317,0.0,PRUNE_OLDEST,0,0.03446480983796061,2025-12-17 02:30:00
496,1765944000000.0,0.1310415,68.6195383002039,BUY_OPEN_LONG,0,0.0,2025-12-17 04:00:00
497,1765944900000.0,0.13092,0.0,PRUNE_OLDEST,0,-0.01013400789432708,2025-12-17 04:15:00
501,1765948500000.0,0.1302654,69.02561429117763,BUY_OPEN_LONG,-1,0.0,2025-12-17 05:15:00
502,1765949400000.0,0.13056,0.0,PRUNE_OLDEST,-2,0.01853254912981011,2025-12-17 05:30:00
504,1765951200000.0,0.13121280000000002,68.5310524770779,SELL_OPEN_SHORT,0,0.0,2025-12-17 06:00:00
505,1765952100000.0,0.13113,0.0,PRUNE_OLDEST,0,0.0038770757628396957,2025-12-17 06:15:00
509,1765955700000.0,0.13047435,68.91939788801034,BUY_OPEN_LONG,0,0.0,2025-12-17 07:15:00
