bar,timestamp,price,qty,label,regime,pnl,datetime
1,1771200900000.0,1978.69425,0.03790165839439027,SELL_OPEN_SHORT,0,0.0,2026-02-16 00:15:00
4,1771203600000.0,1974.9254999999998,0.03797208752992426,SELL_OPEN_SHORT,0,0.0,2026-02-16 01:00:00
6,1771205400000.0,1957.6028000000001,0.03830618476801475,BUY_OPEN_LONG,0,0.0,2026-02-16 01:30:00
6,1771205400000.0,1957.6028000000001,0.018968436481078634,BUY_CLOSE_SHORT,0,0.35686847052584214,2026-02-16 01:30:00
11,1771209900000.0,1953.2447,0.03843540825607906,BUY_OPEN_LONG,0,0.0,2026-02-16 02:45:00
11,1771209900000.0,1953.2447,0.014226327360808975,BUY_CLOSE_SHORT,0,0.32966351011697953,2026-02-16 02:45:00
16,1771214400000.0,1966.2825,0.019185398256023452,SELL_CLOSE_LONG,0,0.20085505685373836,2026-02-16 04:00:00
16,1771214400000.0,1966.2825,0.03822055846314576,SELL_OPEN_SHORT,0,0.0,2026-02-16 04:00:00
17,1771215300000.0,1968.07,0.0,PRUNE_OFFSET,0,-0.08336339515178223,2026-02-16 04:15:00
21,1771218900000.0,1958.2199493414325,0.038391003589556195,BUY_OPEN_LONG,0,0.0,2026-02-16 05:15:00
21,1771218900000.0,1958.2368432176,0.010669745520606733,BUY_CLOSE_SHORT,0,0.1783197204028979,2026-02-16 05:15:00
22,1771219800000.0,1956.18,0.0,PRUNE_OFFSET,0,-0.09333564516981056,2026-02-16 05:30:00
26,1771223400000.0,1965.947107961217,0.014389048692017589,SELL_CLOSE_LONG,0,0.15628537000287054,2026-02-16 06:30:00
26,1771223400000.0,1965.9685702887302,0.03824858463013475,SELL_OPEN_SHORT,0,0.0,2026-02-16 06:30:00
27,1771224300000.0,1966.69,0.0,PRUNE_OFFSET,0,-0.04263828714744535,2026-02-16 06:45:00
29,1771226100000.0,1976.5138765641484,0.010791786519013191,SELL_CLOSE_LONG,0,0.23122553159860876,2026-02-16 07:15:00
29,1771226100000.0,1976.5305488796052,0.03805666747515013,SELL_OPEN_SHORT,0,0.0,2026-02-16 07:15:00
33,1771229700000.0,1977.7026163767405,0.008093839889259893,SELL_CLOSE_LONG,0,0.183038694118123,2026-02-16 08:15:00
33,1771229700000.0,1977.7239227308537,0.03806102931325826,SELL_OPEN_SHORT,0,0.0,2026-02-16 08:15:00
35,1771231500000.0,1977.31,0.03805666747515013,PRUNE_OFFSET,0,-0.08898446129087449,2026-02-16 08:45:00
36,1771232400000.0,1986.75,0.0,PRUNE_GAP,0,0.8039113390848671,2026-02-16 09:00:00
36,1771232400000.0,1986.75,0.03806102931325826,PRUNE_OFFSET,0,-0.4040400698886644,2026-02-16 09:00:00
36,1771232400000.0,1984.2572972022708,0.00607037991694492,SELL_CLOSE_LONG,0,0.0,2026-02-16 09:00:00
37,1771233300000.0,1986.17,0.0,PRUNE_OFFSET,0,-0.33658552944124714,2026-02-16 09:15:00
44,1771239600000.0,1976.23915,0.03810856451218078,BUY_OPEN_LONG,0,0.0,2026-02-16 11:00:00
